total_area_px,coverage_ratio,height_proxy,width_proxy,aspect_ratio,compactness,canopy_h_cm,canopy_w_cm,hull_ratio,perimeter_px,perimeter_ratio,leaf_count,leaf_count_raw,leaf_count_method,shoot_count,root_count,stem_count,mean_leaf_area_px,leaf_area_cv,max_leaf_area_px,green_pct,greenness,dark_green_ratio,yellow_ratio,brown_ratio,healthy_color,mean_hue,mean_sat,mean_val,glare_score,condensation_score,brightness_mean,brightness_std,mean_score,min_score,score_std,image,species,verdict,readiness_index,confidence,quality_warning,note
24057,0.002687,0.062166,0.136698,0.454768,0.316232,,,0.813781,1002.65,0.083777,1,0,fallback,0,0,1,27663.0,0.0,27663.0,79.82,0.3875,70.53,16.86,0.0,62.96,37.88,84.03,77.6,1.06,1.86,122.61,35.67,0.6842,0.6842,0.0,078.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.2595,0.7915,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ | leaf prompt ไม่เจอ → นับใบจาก plant+shoot
84078,0.013228,0.116889,0.459153,0.231466,0.246466,,,0.403663,3297.53,0.326617,3,4,prompt,1,0,1,13368.0,0.1332,15825.0,51.19,0.3802,50.28,16.64,0.0,34.55,36.4,77.33,65.2,0.03,0.11,105.95,31.93,0.6624,0.6107,0.0438,079.jpg,พริกจินดา,ยังไม่พร้อม,0.1953,0.7998,,
36132,0.004497,0.152318,0.169147,0.828,0.174551,,,0.416594,1888.53,0.166419,1,0,fallback,0,0,2,42894.0,0.0,42894.0,16.59,0.356,11.1,47.18,4.46,-35.05,26.68,65.05,93.94,1.56,2.17,118.87,41.98,0.6146,0.5973,0.0174,080.jpg,พริกจินดา,ยังไม่พร้อม,0.0977,0.7875,,leaf prompt ไม่เจอ → นับใบจาก plant+shoot | ใบเหลืองมาก
155762,0.023946,0.386385,0.585561,0.479452,0.10584,,,0.233314,5199.76,0.503268,3,3,prompt,1,0,1,20247.0,0.1615,23396.0,42.64,0.365,8.86,17.26,0.04,25.33,35.13,54.24,126.03,0.57,0.87,158.28,18.85,0.8395,0.6926,0.0819,081.jpg,พริกจินดา,ยังไม่พร้อม,0.2558,0.7954,,
202502,0.022621,0.262701,0.649733,0.404321,0.132529,,,0.280797,6013.4,0.502456,5,6,prompt,1,0,4,25519.8,0.5124,46451.0,58.49,0.3739,4.18,9.7,0.0,48.79,36.3,65.92,140.5,0.93,1.41,141.63,40.5,0.6905,0.5232,0.1343,082.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.2656,0.7926,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
127438,0.014236,0.346257,0.266377,1.299875,0.154341,,,0.500683,3462.52,0.289315,1,0,fallback,1,0,1,140068.0,0.0,140068.0,69.06,0.369,23.87,23.68,0.35,45.03,35.96,62.58,102.21,1.13,1.96,129.99,32.99,0.7938,0.7118,0.082,083.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.3182,0.791,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ | leaf prompt ไม่เจอ → นับใบจาก plant+shoot
290656,0.032468,0.492647,0.35127,1.402474,0.18762,,,0.341152,6269.1,0.523822,4,5,prompt,1,0,2,65591.25,0.647,125456.0,77.66,0.3871,33.78,23.81,0.01,53.84,36.98,84.65,97.38,1.71,2.52,126.8,36.68,0.8104,0.5566,0.1374,084.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.397,0.7863,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
132157,0.017234,0.250488,0.566845,0.378538,0.121375,,,0.297156,4833.3,0.435041,1,1,prompt,1,0,1,74075.0,0.0,74075.0,88.08,0.3912,32.13,6.12,0.0,81.96,37.24,89.7,97.61,1.87,2.63,127.63,33.49,0.722,0.5869,0.1155,085.jpg,พริกจินดา,ยังไม่พร้อม,0.348,0.785,,
203227,0.034018,0.649107,0.626922,0.869617,0.083595,,,0.782078,3491.95,0.355813,3,7,prompt,0,0,0,74654.33,0.8811,167632.0,87.9,0.3851,56.17,2.11,0.0,85.79,40.64,75.99,86.78,0.79,1.64,116.41,36.73,0.5951,0.5091,0.0727,086.jpg,พริกจินดา,ยังไม่พร้อม,0.4754,0.7937,,
158468,0.017702,0.175802,0.510695,0.344241,0.197166,,,1.745338,1393.55,0.11644,1,1,prompt,0,0,1,88793.0,0.0,88793.0,14.75,0.3521,0.0,4.2,0.0,10.55,39.08,31.25,125.72,0.84,1.1,147.81,27.87,0.7419,0.6446,0.0973,087.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.1058,0.7933,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
493713,0.055151,0.479612,0.763703,0.628009,0.150569,,,0.254837,10437.67,0.872132,3,6,prompt,1,0,7,106094.33,0.2778,135058.0,70.67,0.3781,25.32,5.16,0.28,65.23,44.3,70.6,102.31,1.38,1.71,126.55,31.79,0.6903,0.5122,0.0993,088.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.3835,0.789,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
440163,0.049169,0.395388,0.730281,0.541419,0.170285,,,0.282673,9222.55,0.7706,6,10,prompt,1,0,2,52828.5,1.0882,136899.0,90.55,0.3978,7.73,1.4,0.0,89.16,38.71,95.24,114.59,1.69,2.05,128.31,37.89,0.6649,0.5007,0.1205,089.jpg,พริกจินดา,ยังไม่พร้อม,0.4149,0.7865,,
40879,0.004566,0.058824,0.192848,0.305026,0.402543,,,0.642848,1430.81,0.119553,1,0,fallback,0,0,3,45708.0,0.0,45708.0,53.33,0.3712,7.93,39.91,0.0,13.42,32.19,72.64,126.42,0.95,1.11,141.91,31.07,0.5868,0.5117,0.0618,090.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.1799,0.7924,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ | leaf prompt ไม่เจอ → นับใบจาก plant+shoot | ใบเหลืองมาก
284600,0.039833,0.385678,0.736965,0.417687,0.140141,,,0.224346,8491.26,0.789151,4,4,prompt,1,0,1,40536.25,0.7191,88272.0,92.42,0.394,29.01,1.22,0.0,91.2,40.19,86.51,106.01,1.13,1.42,129.85,31.53,0.7895,0.5917,0.1175,091.jpg,พริกจินดา,ยังไม่พร้อม,0.4129,0.791,,
508445,0.077596,0.60274,0.707553,0.623524,0.181949,,,0.300835,11511.17,1.110688,4,6,prompt,1,0,4,98681.25,0.6749,193544.0,86.36,0.3884,26.74,3.96,0.0,82.39,41.01,78.98,100.36,0.42,0.59,129.44,28.94,0.7764,0.5571,0.1356,092.jpg,พริกจินดา,ยังไม่พร้อม,0.4787,0.7966,,
254451,0.030547,0.65158,0.599933,1.010585,0.078145,,,0.141118,7550.78,0.653634,1,0,fallback,1,0,3,273262.0,0.0,273262.0,45.15,0.3584,0.0,3.49,0.0,41.66,40.3,41.53,129.66,1.47,1.95,145.12,29.25,0.6099,0.5295,0.0678,093.jpg,พริกจินดา,ยังไม่พร้อม,0.3462,0.7882,,leaf prompt ไม่เจอ → นับใบจาก plant+shoot
418159,0.068208,0.771108,0.679144,0.777559,0.130245,,,0.240194,8670.77,0.860025,6,9,prompt,1,0,4,42825.0,0.8729,105844.0,68.43,0.3864,47.86,9.24,0.0,59.19,37.66,79.92,92.16,0.16,0.27,128.81,27.82,0.6727,0.5042,0.1179,094.jpg,พริกจินดา,ยังไม่พร้อม,0.4707,0.7987,,
